,x
1,tt0114709
2,tt0113189
3,tt0113101
4,tt0113161
5,tt0112722
6,tt0115012
7,tt0114746
8,tt0112431
9,tt0112818
10,tt0114279
11,tt0114369
12,tt0114814
13,tt0113819
14,tt0110877
15,tt0113862
16,tt0113149
17,tt0116367
18,tt0112445
19,tt0112379
20,tt0112365
21,tt0117110
22,tt0112573
23,tt0075314
24,tt0113326
25,tt0115685
26,tt0112585
27,tt0112442
28,tt0112384
29,tt0112462
30,tt0061395
31,tt0112740
32,tt0109508
33,tt0112851
34,tt0112887
35,tt0113114
36,tt0113729
37,tt0110620
38,tt0113957
39,tt0114558
40,tt0114682
41,tt0112508
42,tt0109445
43,tt0109635
44,tt0109642
45,tt0111797
46,tt0109759
47,tt0109707
48,tt0110057
49,tt0110099
50,tt0076759
51,tt0110322
52,tt0110428
53,tt0110632
54,tt0114069
55,tt0110413
56,tt0110912
57,tt0110889
58,tt0110932
59,tt0111495
60,tt0108394
61,tt0111507
62,tt0111282
63,tt0111070
64,tt0111161
65,tt0108550
66,tt0114924
67,tt0109040
68,tt0109506
69,tt0109830
70,tt0109831
71,tt0110357
72,tt0110475
73,tt0110478
74,tt0059170
75,tt0109339
76,tt0106519
77,tt0106918
78,tt0106965
79,tt0106977
80,tt0107144
81,tt0110074
82,tt0107290
83,tt0107616
84,tt0111003
85,tt0110955
86,tt0107943
87,tt0108065
88,tt0108160
89,tt0083658
90,tt0108174
91,tt0107688
92,tt0108399
93,tt0114906
94,tt0099785
95,tt0103639
96,tt0103064
97,tt0099348
98,tt0102926
99,tt0029583
100,tt0116282
101,tt0082509
102,tt0065421
103,tt0115509
104,tt0114658
105,tt0117608
106,tt0116095
107,tt0117071
108,tt0116768
109,tt0117128
110,tt0114048
111,tt0117979
112,tt0116322
113,tt0113362
114,tt2185063
115,tt0113270
116,tt0112701
117,tt0117500
118,tt0117998
119,tt0110480
120,tt0117765
121,tt0116629
122,tt0115798
123,tt0116365
124,tt0116905
125,tt0117333
126,tt0117718
127,tt0068646
128,tt0104558
129,tt0115736
130,tt0116745
131,tt0054698
132,tt0032138
133,tt0031381
134,tt0033467
135,tt0062622
136,tt0031679
137,tt0115678
138,tt0116000
139,tt0064603
140,tt0107131
141,tt0046672
142,tt0066817
143,tt0059742
144,tt0095016
145,tt0104692
146,tt0118044
147,tt0116908
148,tt0116409
149,tt0116722
150,tt0117802
151,tt0067992
152,tt0070707
153,tt0095159
154,tt0079470
155,tt0092890
156,tt0105236
157,tt0091763
158,tt0098627
159,tt0103772
160,tt0104348
161,tt0092099
162,tt0082846
163,tt0072081
164,tt0096754
165,tt0091288
166,tt0091480
167,tt0081375
168,tt0071853
169,tt0108598
170,tt0095765
171,tt0101700
